id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
CCNO,6,0.25024,0.39203,0.985987,197,2,0.69531,0.73089,0.984347,387,1
POLA1,6,0.25214,0.39349,0.985987,198,2,0.42287,0.55432,0.966698,300,1
POLR2C,6,0.25351,0.39459,0.985987,199,2,0.22592,0.37599,0.966698,190,2
GINS4,6,0.25535,0.39616,0.985987,200,1,0.11767,0.23143,0.966698,116,1
GAPDH,6,0.26089,0.40132,0.985987,201,2,0.14824,0.27795,0.966698,140,2
RASSF7,6,0.26332,0.40356,0.985987,202,2,0.88045,0.87873,0.984347,465,0
TOP1,6,0.26336,0.4036,0.985987,203,2,0.94525,0.9438,0.988004,503,0
MCM10,6,0.26491,0.40517,0.985987,204,1,0.78744,0.7939,0.984347,419,1
POLG,6,0.26583,0.40599,0.985987,205,2,0.36348,0.49904,0.966698,265,1
GADD45A,6,0.27243,0.41144,0.985987,206,2,0.61274,0.68527,0.984347,362,1
RAD51D,6,0.27749,0.41557,0.985987,207,1,0.0014899,0.006006,0.530528,6,4
RFC2,6,0.28061,0.41802,0.985987,208,2,0.58796,0.67259,0.984347,353,1
PSMD10,6,0.28217,0.41968,0.985987,209,1,0.43504,0.5656,0.966698,309,2
MCM2,6,0.28372,0.42095,0.985987,210,2,0.30903,0.44884,0.966698,234,2
POLQ,6,0.28681,0.42364,0.985987,211,1,0.24731,0.39455,0.966698,201,1
SMEK2,6,0.28736,0.42413,0.985987,212,2,0.53006,0.64531,0.984347,343,1
NIPBL,6,0.28836,0.42515,0.985987,213,1,0.87727,0.87578,0.984347,464,0
PRIM2,6,0.29151,0.42769,0.985987,214,2,0.091678,0.19222,0.966698,99,3
FANCA,6,0.29401,0.4299,0.985987,215,2,0.10281,0.20875,0.966698,108,2
CENPF,6,0.29603,0.43177,0.985987,216,1,0.13414,0.2574,0.966698,126,3
FANCG,6,0.29756,0.43302,0.985987,217,1,0.799,0.80309,0.984347,420,1
NonTargetControl_0020,1,0.30051,0.4359,0.985987,218,0,0.69949,0.7333,0.984347,390,0
POLR2I,6,0.30736,0.44148,0.985987,219,2,0.11798,0.23175,0.966698,117,2
SPDL1,6,0.30817,0.44245,0.985987,220,1,0.42845,0.55925,0.966698,306,2
NonTargetControl_0008,1,0.31485,0.44895,0.985987,221,0,0.68515,0.7245,0.984347,385,0
ORC2,6,0.31489,0.44901,0.985987,222,2,0.77474,0.78318,0.984347,413,1
NonTargetControl_0024,1,0.31894,0.45288,0.985987,223,0,0.68106,0.72224,0.984347,383,0
MSH6,6,0.32753,0.46164,0.985987,224,2,0.83656,0.83605,0.984347,441,1
RFWD2,6,0.329,0.4631,0.985987,225,2,0.84541,0.84412,0.984347,449,0
DMC1,6,0.33339,0.46749,0.985987,226,1,0.47172,0.60193,0.969086,328,2
KAT2A,6,0.33416,0.46823,0.985987,227,2,0.91717,0.91682,0.984347,488,0
PSME1,6,0.33499,0.46902,0.985987,228,2,0.21712,0.36788,0.966698,183,2
FAN1,6,0.33921,0.47307,0.985987,229,1,0.19104,0.34139,0.966698,173,3
GINS3,6,0.34066,0.47434,0.985987,230,1,0.11026,0.21987,0.966698,111,3
AURKC,6,0.34087,0.47443,0.985987,231,2,0.01526,0.046339,0.814915,29,2
PML,6,0.3417,0.47518,0.985987,232,2,0.67338,0.71757,0.984347,381,1
RECQL,6,0.34211,0.47569,0.985987,233,1,0.60051,0.67903,0.984347,359,1
PSMD2,6,0.34422,0.47763,0.985987,234,2,0.97063,0.96958,0.988004,515,0
NonTargetControl_0048,1,0.34556,0.47858,0.985987,235,0,0.65444,0.70683,0.984347,374,0
NonTargetControl_0011,1,0.34898,0.48202,0.985987,236,0,0.65102,0.70524,0.984347,373,0
RAD1,6,0.35093,0.48392,0.985987,237,2,0.34674,0.48237,0.966698,257,2
XRCC1,6,0.35358,0.48637,0.985987,238,1,0.26807,0.41294,0.966698,215,2
NonTargetControl_0004,1,0.35614,0.48876,0.985987,239,0,0.64386,0.70137,0.984347,369,0
ANAPC4,6,0.35764,0.48987,0.985987,240,2,0.076295,0.1673,0.966698,89,1
PSMB11,6,0.35848,0.49084,0.985987,241,2,0.92144,0.92086,0.984347,489,0
PSMD11,6,0.36066,0.49289,0.985987,242,2,0.32753,0.46564,0.966698,245,2
RAD54L,6,0.36099,0.49325,0.985987,243,2,0.82153,0.82248,0.984347,430,1
HAUS5,6,0.36267,0.49491,0.985987,244,2,0.8352,0.83487,0.984347,438,1
