id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
UBE2N,6,0.2728,0.45998,0.999766,205,1,0.18805,0.38254,0.92158,220,3
PSMD13,6,0.27326,0.46037,0.999766,206,3,0.82396,0.89405,0.998814,461,1
LIG4,6,0.2752,0.46214,0.999766,207,3,0.4882,0.6865,0.998814,352,2
RAD51,6,0.28071,0.46793,0.999766,208,2,0.17123,0.35684,0.887905,213,2
TUBB1,6,0.28169,0.46928,0.999766,209,3,0.091523,0.22756,0.827706,142,2
C19orf40,6,0.2832,0.47105,0.999766,210,3,0.36351,0.56902,0.996379,294,2
IGF1R,6,0.28561,0.47363,0.999766,211,3,0.11192,0.26225,0.827706,163,3
CHAF1A,6,0.28627,0.4744,0.999766,212,3,0.0071459,0.030161,0.582147,27,3
POLH,6,0.28889,0.47727,0.999766,213,3,0.57056,0.74361,0.998814,376,2
AURKB,6,0.2968,0.48559,0.999766,214,3,0.53441,0.72282,0.998814,368,2
SGOL2,6,0.30343,0.49214,0.999766,215,3,0.30968,0.51772,0.996379,275,2
SMEK1,6,0.30409,0.49312,0.999766,216,3,0.79745,0.88004,0.998814,452,2
RECQL4,6,0.30903,0.4985,0.999766,217,2,0.07053,0.19009,0.827706,121,3
TP53BP1,6,0.31144,0.50083,0.999766,218,3,0.6493,0.78777,0.998814,403,1
CINP,6,0.31154,0.50089,0.999766,219,2,0.13847,0.30446,0.83807,192,4
XAB2,6,0.31278,0.50218,0.999766,220,3,0.33667,0.54415,0.996379,284,3
NME2,6,0.31345,0.50292,0.999766,221,3,0.072455,0.19384,0.827706,122,1
BRCA2,6,0.31907,0.5084,0.999766,222,2,0.023793,0.07961,0.680533,62,4
ATRIP,6,0.32085,0.51062,0.999766,223,3,0.38625,0.5913,0.996379,313,3
XRCC3,6,0.3231,0.51314,0.999766,224,2,0.039986,0.12302,0.758174,86,4
EXO1,6,0.329,0.5199,0.999766,225,1,0.17269,0.35902,0.889169,214,3
POLQ,6,0.33339,0.52484,0.999766,226,2,0.055009,0.16197,0.811569,103,3
POLR2B,6,0.3351,0.52687,0.999766,227,3,0.66442,0.79698,0.998814,410,2
STAG1,6,0.34003,0.53311,0.999766,228,3,0.60808,0.76478,0.998814,393,1
NonTargetControl_0026,1,0.3401,0.53317,0.999766,229,1,0.6599,0.79409,0.998814,407,0
PSMA2,6,0.34066,0.53375,0.999766,230,2,0.014021,0.052204,0.613346,44,3
SMEK2,6,0.34124,0.53425,0.999766,231,3,0.40729,0.61127,0.996379,322,3
ZBTB32,6,0.34261,0.5356,0.999766,232,3,0.23919,0.45039,0.977713,243,3
ANAPC11,6,0.34499,0.53771,0.999766,233,1,0.66524,0.79752,0.998814,411,2
APTX,6,0.34535,0.53803,0.999766,234,3,0.44898,0.64936,0.998814,339,2
CACYBP,6,0.35009,0.54318,0.999766,235,2,0.34499,0.55112,0.996379,288,2
POLE,6,0.35215,0.54531,0.999766,236,1,0.1246,0.28241,0.831546,180,4
BUB3,6,0.3536,0.54701,0.999766,237,3,0.068601,0.18665,0.827706,118,3
MSH3,6,0.35705,0.55043,0.999766,238,3,0.4005,0.60492,0.996379,320,2
ANAPC7,6,0.35848,0.55176,0.999766,239,2,0.031159,0.099991,0.730435,72,3
TOP3A,6,0.35913,0.55247,0.999766,240,3,0.077741,0.20307,0.827706,129,3
UBC,6,0.35925,0.55252,0.999766,241,2,0.17872,0.36838,0.903901,216,3
CDC26,6,0.36099,0.55432,0.999766,242,2,0.0051159,0.022707,0.530564,22,4
FAM175A,6,0.36328,0.55695,0.999766,243,3,0.48539,0.68385,0.998814,351,2
PSMF1,6,0.36348,0.5571,0.999766,244,1,0.11253,0.26324,0.827706,165,4
CCNB1,6,0.36397,0.55753,0.999766,245,3,0.10141,0.24464,0.827706,152,2
CDC27,6,0.36466,0.55828,0.999766,246,3,0.67964,0.80595,0.998814,420,2
ALKBH3,6,0.36536,0.55891,0.999766,247,3,0.57798,0.74768,0.998814,381,2
RFC1,6,0.36769,0.56141,0.999766,248,1,0.12319,0.28002,0.829111,179,4
UBE2D1,6,0.37021,0.56397,0.999766,249,2,0.12139,0.27701,0.827706,176,3
PSME2,6,0.37187,0.56537,0.999766,250,1,0.30409,0.5126,0.994526,272,3
DBF4,6,0.3723,0.56597,0.999766,251,3,0.51,0.70681,0.998814,360,2
CRY2,6,0.37299,0.56651,0.999766,252,3,0.53872,0.72524,0.998814,369,2
IGHMBP2,6,0.37356,0.567,0.999766,253,2,0.10349,0.24787,0.827706,155,4
MSH2,6,0.38765,0.58209,0.999766,254,3,0.2144,0.42239,0.977582,229,2
CHEK2,6,0.39194,0.58704,0.999766,255,2,0.099058,0.2407,0.827706,149,1
PARP3,6,0.39465,0.58977,0.999766,256,3,0.15393,0.32898,0.858923,203,1
CHTF8,6,0.39535,0.59054,0.999766,257,3,0.78059,0.86926,0.998814,449,1
KIF11,6,0.39778,0.59319,0.999766,258,2,0.90748,0.92689,0.998814,478,1
NonTargetControl_0038,1,0.39812,0.5936,0.999766,259,0,0.60188,0.76098,0.998814,388,0
MBD4,6,0.39886,0.59439,0.999766,260,3,0.41767,0.6208,0.996379,329,1
PIF1,6,0.40194,0.59784,0.999766,261,2,0.25791,0.46851,0.98929,251,3
INO80E,6,0.40307,0.59902,0.999766,262,3,0.58461,0.75118,0.998814,383,2
XPC,6,0.40729,0.60328,0.999766,263,3,0.99446,0.99457,0.998814,524,0
RRM2B,6,0.42102,0.61432,0.999766,264,2,0.060854,0.17346,0.816744,112,3
TOP1,6,0.42157,0.61475,0.999766,265,1,0.057119,0.16693,0.811569,108,5
RAD54B,6,0.42416,0.61604,0.999766,266,2,0.24082,0.45196,0.977713,245,3
ORC4,6,0.43315,0.62218,0.999766,267,2,0.18372,0.37627,0.916475,217,3
RAD23B,6,0.4357,0.62383,0.999766,268,2,0.01728,0.061041,0.624416,51,3
NonTargetControl_0016,1,0.44727,0.63076,0.999766,269,0,0.55273,0.73349,0.998814,372,0
DICER1,6,0.4545,0.6361,0.999766,270,2,0.49279,0.69104,0.998814,354,3
POLDIP2,6,0.46187,0.64167,0.999766,271,2,0.47231,0.67174,0.998814,347,3
FANCG,6,0.46606,0.64483,0.999766,272,2,0.014903,0.054801,0.613346,46,4
TAF1A,6,0.47157,0.64852,0.999766,273,1,0.45886,0.65878,0.998814,343,3
ESCO1,6,0.47414,0.6503,0.999766,274,2,0.014754,0.054222,0.613346,45,3
TREX1,6,0.47517,0.65069,0.999766,275,2,0.42774,0.62979,0.996379,335,3
POLG2,6,0.47637,0.65142,0.999766,276,2,0.015187,0.05538,0.613346,47,4
TOP2B,6,0.48231,0.65566,0.999766,277,1,0.025476,0.084373,0.68338,64,4
CLK2,6,0.48468,0.65732,0.999766,278,2,0.070335,0.18975,0.827706,120,4
PPP4R4,6,0.49417,0.66364,0.999766,279,2,0.4144,0.61809,0.996379,326,3
CDK7,6,0.49656,0.665,0.999766,280,2,0.37091,0.57595,0.996379,304,3
BRCC3,6,0.49973,0.66735,0.999766,281,2,0.012049,0.045703,0.589227,40,4
RUVBL2,6,0.50527,0.67057,0.999766,282,2,0.13202,0.29485,0.836845,186,4
APEX1,6,0.51157,0.67485,0.999766,283,2,0.3769,0.58215,0.996379,308,2
RNF168,6,0.51345,0.67574,0.999766,284,2,0.0051085,0.02267,0.530564,21,3
DSCC1,6,0.51681,0.67789,0.999766,285,2,0.36853,0.57358,0.996379,301,2
NonTargetControl_0049,1,0.51758,0.67843,0.999766,286,0,0.48242,0.68109,0.998814,350,0
TERF2IP,6,0.51941,0.67978,0.999766,287,2,0.027329,0.089623,0.68338,69,3
NonTargetControl_0034,1,0.52474,0.6834,0.999766,288,0,0.47526,0.67415,0.998814,348,0
ALKBH2,6,0.53184,0.68774,0.999766,289,2,0.058139,0.16851,0.811569,109,3
UNG,6,0.54719,0.69827,0.999766,290,2,0.41504,0.61858,0.996379,327,3
DDX11,6,0.54725,0.69833,0.999766,291,1,0.4061,0.61002,0.996379,321,2
NonTargetControl_0013,1,0.55375,0.70274,0.999766,292,0,0.44625,0.64709,0.998814,338,0
MCM8,6,0.56083,0.70731,0.999766,293,2,0.11929,0.27316,0.827706,173,4
RFC2,6,0.56233,0.70858,0.999766,294,2,0.012316,0.046693,0.589227,42,4
TOPBP1,6,0.56392,0.70928,0.999766,295,1,0.064289,0.17912,0.821996,115,4
IP6K3,6,0.56533,0.7104,0.999766,296,2,0.29603,0.50468,0.994526,267,3
FBXO5,6,0.56832,0.71277,0.999766,297,2,0.49773,0.69541,0.998814,357,3
