id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
CHTF8,6,0.355,0.49048,0.994559,257,1,0.85753,0.85745,0.999673,440,0
ASF1A,6,0.35596,0.4914,0.994559,258,2,0.97888,0.97896,0.999673,515,0
POLE,6,0.36015,0.49511,0.994559,259,2,0.96165,0.96154,0.999673,502,0
RRM2B,6,0.36348,0.49838,0.994559,260,2,0.049133,0.1245,0.905805,71,2
RFWD2,6,0.36518,0.4999,0.994559,261,2,0.44653,0.57531,0.987616,308,2
CEP192,6,0.36937,0.50391,0.994559,262,2,0.54087,0.64796,0.992316,344,1
PRKDC,6,0.37188,0.50599,0.994559,263,2,0.75641,0.76971,0.999673,401,1
PSMA8,6,0.37464,0.50827,0.994559,264,2,0.01728,0.051027,0.841293,29,2
PSMA1,6,0.38109,0.51466,0.994559,265,2,0.61645,0.68521,0.999673,360,1
MAP10,6,0.3829,0.51609,0.994559,266,1,0.65101,0.70373,0.999673,367,1
SUMO1,6,0.38359,0.51669,0.994559,267,2,0.89468,0.89489,0.999673,462,0
HFM1,6,0.38443,0.51748,0.994559,268,2,0.79246,0.79788,0.999673,414,1
FANCD2,6,0.38526,0.5183,0.994559,269,2,0.053054,0.13104,0.927067,74,3
PSMF1,6,0.387,0.52,0.994559,270,1,0.88079,0.8811,0.999673,456,0
C17orf70,6,0.3886,0.5217,0.994559,271,2,0.13674,0.26029,0.951417,145,2
POLA1,6,0.38972,0.52276,0.994559,272,1,0.231,0.37845,0.982548,199,1
CENPE,6,0.39278,0.52514,0.994559,273,2,0.88491,0.88544,0.999673,458,0
ERCC1,6,0.39361,0.52577,0.994559,274,2,0.037764,0.10109,0.905805,58,3
PSMD13,6,0.39513,0.5271,0.994559,275,1,0.62012,0.68714,0.999673,361,1
TAF2,6,0.39647,0.52835,0.994559,276,1,0.7402,0.759,0.999673,393,1
UBE2A,6,0.39916,0.53081,0.994559,277,1,0.033775,0.09207,0.90126,54,4
EXO1,6,0.40277,0.53403,0.994559,278,2,0.18722,0.3342,0.982548,173,2
HES1,6,0.40316,0.53444,0.994559,279,2,0.10993,0.21899,0.944473,120,2
CRY2,6,0.4036,0.53483,0.994559,280,2,0.86309,0.8631,0.999673,443,0
